名称,地址,描述,观看次数,弹幕数,发布时间,作者
【何同学】有多快？5G在日常使用中的真实体验,//www.bilibili.com/video/av54737593?from=search&seid=9709071771064727340,"
        BGM：La Ciudad——ODESZA
          Rap God—— Eminem
          Stronger —— Kanye West
          感谢龚哥从上海帮我办了两次电话卡，感谢我班团支书辅导我数...
      ","
          1003.6万
        ","
          10.7万
        ","
          2019-06-06
        ",老师好我叫何同学
【何同学】收入？装备？未来规划？在校十万粉UP的真实情况,//www.bilibili.com/video/av43248892?from=search&seid=9709071771064727340,"
        专栏：cv960192
视频：https://www.bilibili.com/video/av29437173
BGM：Stronger——Kanye West
我爱B站 我爱大家
      ","
          71.8万
        ","
          0.3861万
        ","
          2019-02-11
        ",老师好我叫何同学
【实拍】探密知乎总部！,//www.bilibili.com/video/av17703816?from=search&seid=9709071771064727340,"
        学校青年媒体去知乎拍采访，好开心
BGM：We Don&#39;t Care—Kanye West
      ","
          17.5万
        ","
          0.0260万
        ","
          2017-12-28
        ",老师好我叫何同学
使用苹果全家桶是种怎样的体验？,//www.bilibili.com/video/av19205223?from=search&seid=9709071771064727340,"
        那个 复制粘贴那个地方有剪辑 实际上会卡一会
说得太浅了 很多东西没有提到 我是真的菜
BGM：Stronger——Kanye West
      ","
          28.1万
        ","
          0.0991万
        ","
          2018-02-06
        ",老师好我叫何同学
【何同学】听～妙不可言 不被看好的AirPods为什么成功了？,//www.bilibili.com/video/av49432234?from=search&seid=9709071771064727340,"
        BGM：The Love Club —— Lorde
          Good Life
          Stronger         —— Kanye West
      ","
          85.8万
        ","
          0.3189万
        ","
          2019-04-15
        ",老师好我叫何同学
【何同学】每天只看半小时手机，坚持一周后我有哪些变化？,//www.bilibili.com/video/av47180907?from=search&seid=9709071771064727340,"
        BGM：
We Don&#39;t Care 
Stronger
Violent Crimes ——Kanye West
第一次在自习室剪到五点 唉也算是经历
      ","
          193.2万
        ","
          1.4万
        ","
          2019-03-24
        ",老师好我叫何同学
【何同学】如何在B站学习做视频？  (P2附Pr零基础剪辑教程）,//www.bilibili.com/video/av29437173?from=search&seid=9709071771064727340,"
        专栏：cv960192
影视飓风:https://space.bilibili.com/946974/#/
视频大拍档：https://space.bilibili.com/110974/#/
8K8K：https://space.bili...
      ","
          20.7万
        ","
          0.0639万
        ","
          2018-08-15
        ",老师好我叫何同学
看得心都化了！当一个摄影UP去拍猫片......,//www.bilibili.com/video/av33249554?from=search&seid=9709071771064727340,"
        BGM: Only One (feat. Paul McCartney) —— Kanye West
感谢我弟帮我拍这个视频
感谢我妈帮我喂猫
      ","
          17.2万
        ","
          0.0578万
        ","
          2018-10-06
        ",老师好我叫何同学
【Pr教程】超简单的任意门转场 打开门就可以进入任何地方！,//www.bilibili.com/video/av15196234?from=search&seid=9709071771064727340,"
        第一次做教程好紧张
      ","
          12.1万
        ","
          0.0197万
        ","
          2017-10-08
        ",老师好我叫何同学
【何同学】90块买的智能手表，没想到会这么好用,//www.bilibili.com/video/av30630027?from=search&seid=9709071771064727340,"
        参考： 如何活在Apple Watch阴影下 https://www.huxiu.com/article/127010.html
BGM：Stronger
          Heard&#39;Em Say 
          Wolv...
      ","
          21.1万
        ","
          0.0579万
        ","
          2018-08-29
        ",老师好我叫何同学
为什么我对 @老师好我叫何同学 的视频持不同意见？？？？？？,//www.bilibili.com/video/av55380145?from=search&seid=9709071771064727340,"
        -
      ","
          1411
        ","
          0
        ","
          2019-06-12
        ",就爱喝yeezy
【何同学】实用党的选择？iPhone XR深度体验,//www.bilibili.com/video/av35049732?from=search&seid=9709071771064727340,"
        并没有买iPhone Xs，考虑到X和Xs在外观上区别非常小，视频中所有出现iPhone Xs的地方都由一款iPhone X代替。考虑到我没有iPhone 8，视频里所有的iPhone 8都是iPhone6
BGM：Stronger 
  ...
      ","
          55.2万
        ","
          0.2041万
        ","
          2018-11-01
        ",老师好我叫何同学
"【贰_33】怎样把目标变为现实 feat.影视飓风, 老师好我叫何同学",//www.bilibili.com/video/av53069002?from=search&seid=9709071771064727340,"
        关注我的微博：贰_33


一些信息：
相机 https://u.jd.com/y3qEyt
稳定器 https://u.jd.com/XLwRik
麦克风 https://u.jd.com/X1dfMt
三脚架 https://u.jd....
      ","
          20.9万
        ","
          567
        ","
          2019-05-20
        ",贰_33
【何同学】哪款适合你？iPad mini 5和iPad Air 3深度体验,//www.bilibili.com/video/av52466874?from=search&seid=9709071771064727340,"
        BGM：Distractions —— Groenland
         Stronger——Kanye West
         感谢同学们愿意借给我iPad拍 再一次祝我妈母亲节快乐
      ","
          96.8万
        ","
          0.3362万
        ","
          2019-05-14
        ",老师好我叫何同学
iPhone X吐槽 Face ID的三个缺点,//www.bilibili.com/video/av16581287?from=search&seid=9709071771064727340,"
        第一次做这种视频好紧张 哪里有问题请大家多多指教
脸比较大 希望大家不要介意
BGM：Smile- Jay-Z
      ","
          15.7万
        ","
          0.0261万
        ","
          2017-11-23
        ",老师好我叫何同学
【何同学】能再战十年？！为什么2018年了我还买iPod Classic？,//www.bilibili.com/video/av27469164?from=search&seid=9709071771064727340,"
        感谢我弟叼着相机帮我拍东西
感谢@8K8K和@贰_33帮我想标题
BGM：Heard&#39;Em Say - Kanye West
         We Are Young - Fun.
      ","
          23.1万
        ","
          0.1300万
        ","
          2018-07-22
        ",老师好我叫何同学
如何将iPad变为错题本？（初高中）,//www.bilibili.com/video/av20209991?from=search&seid=9709071771064727340,"
        BGM：Heard ‘Em Say——Kanye West
免费笔记软件：便条本+
      ","
          27.6万
        ","
          0.0528万
        ","
          2018-03-01
        ",老师好我叫何同学
【何同学】我心中的2018最佳国产手机，你绝对猜不到是哪部,//www.bilibili.com/video/av44080002?from=search&seid=9709071771064727340,"
        BGM：Heard&#39;Em Say 
          Stronger       ——   Kanye West
感谢龚哥和我弟帮我做视频，没有你们这期就做不出来
      ","
          62.3万
        ","
          0.3078万
        ","
          2019-02-19
        ",老师好我叫何同学
【何同学】天生骄傲的锤子T1 为什么必然失败？,//www.bilibili.com/video/av23278605?from=search&seid=9709071771064727340,"
        本视频参考了14年Zealer、Fview的T1测评 
感谢爸妈对我做视频的支持，没有你们我坚持不到现在，祝我妈母亲节快乐。
BGM: Bad Religion - Frank Ocean
          Red Lines - SOH...
      ","
          15.9万
        ","
          0.0458万
        ","
          2018-05-11
        ",老师好我叫何同学
【何同学】将iPad Pro用作主力电脑后... 11英寸iPad Pro深度体验,//www.bilibili.com/video/av37220850?from=search&seid=9709071771064727340,"
        如何将iPad掰弯：https://www.youtube.com/watch?v=hUBsxCcJeUc
如何将iPad变为错题本：https://www.bilibili.com/video/av20209991
感谢范范帮我拍视频，没...
      ","
          79.5万
        ","
          0.2095万
        ","
          2018-12-02
        ",老师好我叫何同学
【中字】给新人VLOGER3点建议,//www.bilibili.com/video/av15147368?from=search&seid=17600935286640522668,"
        https://www.youtube.com/watch?v=uCj9ldJThP8
How to be a vlogger. My thoughts on it, and the 3 rules I follow to create m...
      ","
          8.3万
        ","
          0.0205万
        ","
          2017-10-06
        ",老师好我叫何同学
【何同学】低音灭蜡烛，Siri真的傻 苹果HomePod深度体验,//www.bilibili.com/video/av42349835?from=search&seid=17600935286640522668,"
        8Teen
Young dumb &amp;broke —— Khalid
Rock Star  -- Post Malone
Stronger -- Kanye West 
这是个好视频 做完了我很开心
      ","
          47.5万
        ","
          0.2336万
        ","
          2019-02-01
        ",老师好我叫何同学
【何同学】这是全B站最黑的卧室！ | room tour,//www.bilibili.com/video/av32146794?from=search&seid=17600935286640522668,"
        BGM：New Slaves
          Stronger     —— Kanye West
感谢我弟手持相机帮我拍这个视频
感谢我爸妈允许我把房间整成这个样子
      ","
          23.9万
        ","
          0.0830万
        ","
          2018-09-21
        ",老师好我叫何同学
【何同学】为什么iPhone 5C是我最喜欢的手机？,//www.bilibili.com/video/av22042515?from=search&seid=17600935286640522668,"
        BGM：Heard&#39; Em Say——Kanye West
本次视频拍摄共用到30个iPhone的手机壳
感谢Frankie1188告诉我怎么登陆以前的苹果官网 没有你这期视频拍不出来
      ","
          18.5万
        ","
          0.0494万
        ","
          2018-04-13
        ",老师好我叫何同学
【何同学】十年中最经典的5款苹果产品,//www.bilibili.com/video/av28684677?from=search&seid=17600935286640522668,"
        iPod视频：av27469164
本排名不涉及软件，完全主观，如果你觉得评的不好的话可以在评论区说说你心中的TOP5
BGM：
Stronger 
Jesus walk —Kanye West
引用电影: 《银河护卫队》
        ...
      ","
          17.4万
        ","
          0.0799万
        ","
          2018-08-06
        ",老师好我叫何同学
